id,ts_source,ts_captured,btc_dominance_pct,usdt_dominance_pct,eth_dominance_pct,total_market_cap_usd,total3_usd,btc_market_cap_usd,fetch_status,usdc_dominance_pct,stablecoin_dominance_pct
9181,2026-08-07 07:16:25+00:00,2026-08-07 07:25:01.622767+00:00,56.62619787896137,8.047973977472763,10.090392251807096,2278211601944.408,758266505163.5428,1290064609818.4963,ok,3.152946957007126,11.200920934479887
9183,2026-08-07 07:26:25+00:00,2026-08-07 07:35:02.369623+00:00,56.65102992122476,8.041536776431471,10.081224880479528,2279959602690.8726,758491151247.2749,1291620596712.2434,ok,3.150361501288585,11.191898277720057
9185,2026-08-07 07:36:26+00:00,2026-08-07 07:45:07.335053+00:00,56.64894757763963,8.043232816605547,10.074939370522094,2279374459092.976,758487221882.5061,1291241642429.687,ok,3.151140166967924,11.194372983573473
9187,2026-08-07 07:46:27+00:00,2026-08-07 07:55:01.912789+00:00,56.64914290065436,8.04668089611561,10.071666264821385,2278449991722.5312,758249720814.5432,1290722391730.8442,ok,3.152570654498606,11.199251550614216
9189,2026-08-07 07:56:31+00:00,2026-08-07 08:05:01.255901+00:00,56.64416584092624,8.047066763332534,10.073529021106395,2278283510577.7773,758265269898.491,1290514690058.1526,ok,3.152522646542854,11.199589409875388
9191,2026-08-07 08:06:44+00:00,2026-08-07 08:15:09.731232+00:00,56.63021197081418,8.049598682652348,10.076518756433034,2277568499269.799,758277013333.2886,1289791868916.9785,ok,3.153619021207128,11.203217703859476
9193,2026-08-07 08:16:49+00:00,2026-08-07 08:25:01.784492+00:00,56.63422824701845,8.044676212929712,10.082605437104366,2279258994769.7407,758609561998.8031,1290840741438.5933,ok,3.151838473130384,11.196514686060096
9195,2026-08-07 08:26:50+00:00,2026-08-07 08:35:01.438403+00:00,56.6469735869419,8.041692146332128,10.081155292354964,2280206716439.7383,758667439979.4465,1291668096389.2937,ok,3.1505470650618164,11.192239211393945
9197,2026-08-07 08:36:55+00:00,2026-08-07 08:45:15.797706+00:00,56.67200956142116,8.032115687188844,10.077128810395063,2282543086055.5864,758965243148.0187,1293563035972.9795,ok,3.146943163049265,11.179058850238109
9199,2026-08-07 08:46:55+00:00,2026-08-07 08:55:01.459443+00:00,56.68763610459856,8.021493381003895,10.08630926348256,2285266336075.1235,759303841309.1716,1295463464615.1584,ok,3.142854882022323,11.164348263026218
9201,2026-08-07 08:56:56+00:00,2026-08-07 09:05:01.215596+00:00,56.68609634304196,8.024641173424895,10.081313770045297,2284759030873.6147,759284598634.4305,1295140705447.3691,ok,3.143795679092787,11.16843685251768
9203,2026-08-07 09:06:56+00:00,2026-08-07 09:15:03.906822+00:00,56.70252113185504,8.01695986883774,10.080834845560911,2287182566186.844,759725291156.8867,1296890177916.1997,ok,3.141196080092934,11.158155948930672
9205,2026-08-07 09:16:57+00:00,2026-08-07 09:25:07.132167+00:00,56.72100921712392,8.011746290917655,10.077172194242312,2288414682878.623,759795291565.0192,1298011903201.6008,ok,3.1390015673878064,11.15074785830546
9207,2026-08-07 09:26:57+00:00,2026-08-07 09:35:04.609160+00:00,56.75405385165613,8.002451515219366,10.064360667968185,2291013772857.164,760194693407.7799,1300243190396.2136,ok,3.1352601360577284,11.137711651277094
9209,2026-08-07 09:36:58+00:00,2026-08-07 09:45:03.294436+00:00,56.7717627202136,7.994526725146941,10.067745006778807,2293337343907.828,760481952720.5527,1301968035257.4006,ok,3.1341532898557616,11.128680015002702
9211,2026-08-07 09:46:58+00:00,2026-08-07 09:55:04.485673+00:00,56.75608516038106,7.99585910306955,10.075722262989236,2293100903691.0605,760580123712.687,1301474301712.3662,ok,3.1347005662542413,11.130559669323793
9213,2026-08-07 09:56:59+00:00,2026-08-07 10:05:03.390104+00:00,56.74706173876224,8.00080443927069,10.070504594937796,2291502809730.2446,760376399800.1382,1300360514183.0933,ok,3.134935078919935,11.135739518190626
9215,2026-08-07 10:06:59+00:00,2026-08-07 10:15:17.180958+00:00,56.74210402973811,7.999794843201415,10.0715334249687,2291910811250.6826,760601831036.4219,1300478416788.6768,ok,3.136279984917666,11.136074828119082
9217,2026-08-07 10:17:01+00:00,2026-08-07 10:25:01.171043+00:00,56.73880466242653,8.000224561882208,10.075133928499495,2291777304341.9883,760550623578.1523,1300327048008.4253,ok,3.136269174909486,11.136493736791694
9219,2026-08-07 10:27:02+00:00,2026-08-07 10:35:04.345522+00:00,56.73263834649792,8.002803482876796,10.07110472512975,2290968385132.781,760515751276.4604,1299726808569.9844,ok,3.1373797019747336,11.14018318485153
